Name,Borough,askingRent
All Downtown,Manhattan,4995
All Midtown,Manhattan,4595
All Upper East Side,Manhattan,3900
All Upper Manhattan,Manhattan,3000
All Upper West Side,Manhattan,4400
Astoria,Queens,2950
Auburndale,Queens,
Bath Beach,Brooklyn,2000
Battery Park City,Manhattan,5500
Bay Ridge,Brooklyn,2400
Baychester,Bronx,
Bayside,Queens,2698
Bedford Park,Bronx,1995
Bedford-Stuyvesant,Brooklyn,3299
Bellerose,Queens,
Belmont,Bronx,3100
Bensonhurst,Brooklyn,2249
Bergen Beach,Brooklyn,
Boerum Hill,Brooklyn,4350
Borough Park,Brooklyn,2495
Briarwood,Queens,1973
Brighton Beach,Brooklyn,2875
Bronx,Bronx,2825
Bronxwood,Bronx,
Brooklyn,Brooklyn,3522
Brooklyn Heights,Brooklyn,4500
Brookville,Queens,
Brownsville,Brooklyn,2200
Bushwick,Brooklyn,3495
Cambria Heights,Queens,
Canarsie,Brooklyn,2700
Carroll Gardens,Brooklyn,4900
Castle Hill,Bronx,
Central Harlem,Manhattan,3200
Central Park South,Manhattan,10000
Central Queens,Queens,2899
Chelsea,Manhattan,5571
Chinatown,Manhattan,3248
City Island,Bronx,
Civic Center,Manhattan,
Clearview,Queens,
Clinton Hill,Brooklyn,3895
Co-op City,Bronx,
Cobble Hill,Brooklyn,3950
College Point,Queens,
Columbia St Waterfront District,Brooklyn,4000
Concourse,Bronx,2498
Coney Island,Brooklyn,3135
Corona,Queens,3064
Country Club,Bronx,
Crotona Park East,Bronx,
Crown Heights,Brooklyn,3300
DUMBO,Brooklyn,5650
Ditmas Park,Brooklyn,2649
Douglaston,Queens,
Downtown Brooklyn,Brooklyn,4400
Dyker Heights,Brooklyn,2200
East Brooklyn,Brooklyn,3300
East Elmhurst,Queens,
East Flatbush,Brooklyn,2797
East Harlem,Manhattan,3000
East New York,Brooklyn,2900
East Tremont,Bronx,
East Village,Manhattan,4400
Eastchester,Bronx,
Edenwald,Bronx,
Elmhurst,Queens,2600
Financial District,Manhattan,4725
Flatbush,Brooklyn,3000
Flatiron,Manhattan,6120
Flatlands,Brooklyn,
Floral Park,Queens,
Flushing,Queens,2637
Fordham,Bronx,2000
Forest Hills,Queens,2650
Fort Greene,Brooklyn,3995
Fresh Meadows,Queens,2300
Gerritsen Beach,Brooklyn,
Glen Oaks,Queens,
Glendale,Queens,2699
Gowanus,Brooklyn,3700
Gramercy Park,Manhattan,4598
Gravesend,Brooklyn,3080
Greenpoint,Brooklyn,4500
Greenwich Village,Manhattan,5350
Greenwood,Brooklyn,3598
Hamilton Heights,Manhattan,2950
Highbridge,Bronx,2164
Hillcrest,Queens,
Hollis,Queens,1995
Howard Beach,Queens,
Hunts Point,Bronx,
Inwood,Manhattan,2100
Jackson Heights,Queens,2450
Jamaica,Queens,3063
Jamaica Estates,Queens,2188
Jamaica Hills,Queens,2001
Kensington,Brooklyn,2700
Kew Gardens,Queens,2673
Kew Gardens Hills,Queens,2500
Kingsbridge,Bronx,2772
Laconia,Bronx,
Laurelton,Queens,
Little Italy,Manhattan,4250
Little Neck,Queens,
Long Island City,Queens,4117
Longwood,Bronx,
Lower East Side,Manhattan,4400
Manhattan,Manhattan,4400
Manhattan Beach,Brooklyn,
Marble Hill,Manhattan,
Marine Park,Brooklyn,
Maspeth,Queens,2575
Melrose,Bronx,2150
Middle Village,Queens,2600
Midtown,Manhattan,4800
Midtown East,Manhattan,4500
Midtown South,Manhattan,4995
Midtown West,Manhattan,4500
Midwood,Brooklyn,2965
Mill Basin,Brooklyn,
Morningside Heights,Manhattan,4000
Morris Heights,Bronx,
Morris Park,Bronx,1875
Morrisania,Bronx,
Mott Haven,Bronx,3100
NYC,,3800
New Hyde Park,Queens,
Nolita,Manhattan,4595
North Brooklyn,Brooklyn,4531
North Corona,Queens,2450
Northeast Queens,Queens,2600
Northwest Brooklyn,Brooklyn,4350
Northwest Queens,Queens,3317
Norwood,Bronx,1978
Oakland Gardens,Queens,2695
Ocean Parkway,Brooklyn,
Old Mill Basin,Brooklyn,
Ozone Park,Queens,
Park Slope,Brooklyn,4100
Parkchester,Bronx,1795
Pelham Bay,Bronx,
Pelham Gardens,Bronx,
Pelham Parkway,Bronx,1925
Pomonok,Queens,
Port Morris,Bronx,
Prospect Heights,Brooklyn,4200
Prospect Lefferts Gardens,Brooklyn,2999
Prospect Park,Brooklyn,3663
Prospect Park South,Brooklyn,2775
Queens,Queens,3100
Queens Village,Queens,
Red Hook,Brooklyn,4050
Rego Park,Queens,2995
Richmond Hill,Queens,1950
Ridgewood,Queens,3400
Riverdale,Bronx,2800
Rockaway All,Queens,2600
Roosevelt Island,Manhattan,4500
Rosedale,Queens,
Schuylerville,Bronx,
Seagate,Brooklyn,
Sheepshead Bay,Brooklyn,2699
Soho,Manhattan,6491
Soundview,Bronx,2800
South Brooklyn,Brooklyn,2800
South Jamaica,Queens,
South Ozone Park,Queens,
South Queens,Queens,2700
South Richmond Hill,Queens,
Springfield Gardens,Queens,
St. Albans,Queens,
Staten Island,Staten Island,2500
Stuyvesant Town/PCV,Manhattan,5050
Sunnyside,Queens,2735
Sunset Park,Brooklyn,2400
The Rockaways,Queens,2600
Throgs Neck,Bronx,
Tremont,Bronx,2150
Tribeca,Manhattan,10000
University Heights,Bronx,1999
Upper East Side,Manhattan,3900
Upper West Side,Manhattan,4400
Utopia,Queens,
Van Nest,Bronx,
Wakefield,Bronx,
Washington Heights,Manhattan,2750
West Harlem,Manhattan,3500
West Village,Manhattan,5250
Westchester Village,Bronx,
Whitestone,Queens,2800
Williamsbridge,Bronx,
Williamsburg,Brooklyn,4531
Windsor Terrace,Brooklyn,3680
Woodhaven,Queens,2800
Woodlawn,Bronx,
Woodside,Queens,2781
Woodstock,Bronx,